index,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,denom
notes,2.72,2.56,2.14,2.07,2.12,2.05,1.98,2.04,2.38,3.01,3.52,3.6,3.48,3.35,3.35,3.35,3.28,3.2,3.22,3.16,3.19,3.16,3.08,3.07,3.08,3.05,2.99,2.99,2.99,3.01,3.0,3.0,2.99,2.99,2.99,2.99,2.99,2.99,3.09,0001
notes,1.48,1.74,2.15,2.99,3.92,4.31,4.5,5.8,6.5,6.83,6.53,6.81,8.04,8.83,9.42,7.2,6.24,6.02,5.15,5.27,5.5,5.3,5.12,4.71,5.38,4.83,4.72,4.62,4.51,4.47,6.36,6.65,6.98,8.51,8.51,8.51,8.51,8.54,8.53,0002
notes,5.72,5.76,5.88,6.34,6.92,8.07,5.6,12.34,13.03,12.87,14.29,14.82,17.39,18.1,24.0,20.22,18.6,17.65,16.51,15.54,14.27,12.9,11.52,10.16,12.64,17.39,22.76,20.86,19.8,18.87,21.11,22.71,22.33,34.3,36.43,36.87,37.14,37.02,36.8,0005
notes,18.25,19.57,21.23,20.97,19.91,17.98,17.7,22.17,25.36,25.1,28.25,29.96,35.15,37.85,52.02,42.85,53.34,69.43,92.18,110.63,124.12,129.9,132.82,123.36,119.89,90.88,77.5,67.7,62.74,71.55,93.33,122.22,185.36,212.88,230.02,251.68,266.48,303.04,320.15,0010
notes,6.9,7.79,9.61,10.9,12.14,14.33,14.63,16.36,17.84,18.99,23.31,26.13,31.0,29.52,27.43,23.4,16.31,11.2,7.18,7.03,9.79,8.99,10.1,10.12,15.31,34.25,43.83,38.76,40.77,41.78,41.08,43.99,46.81,60.4,70.2,76.5,85.69,86.99,98.47,0020
notes,9.95,14.4,19.83,22.06,27.24,30.17,36.26,39.2,43.1,52.47,72.67,94.59,125.53,148.12,177.19,225.77,249.91,285.37,316.59,336.23,342.45,333.16,332.3,328.18,356.01,351.91,330.27,299.41,278.42,279.51,265.08,244.4,210.57,159.8,174.38,173.05,172.42,174.36,194.5,0050
notes,43.02,53.69,59.51,74.06,78.29,97.77,116.9,139.04,150.18,171.16,190.77,212.08,237.78,245.7,322.66,326.63,377.84,464.57,551.05,626.0,701.59,781.97,858.31,1081.41,1180.41,1153.86,1214.42,1232.82,1346.37,1354.44,1345.75,1370.28,1383.64,1402.43,1411.88,1442.1,1476.46,1502.65,1577.83,0100
notes,,,,,,,,,,,1.8,2.3,12.57,21.77,18.54,49.1,113.03,168.82,208.73,242.7,279.75,448.27,572.5,529.47,685.12,938.13,1229.38,1527.28,1823.32,2254.0,2631.08,3083.04,3644.79,4453.11,5128.07,5359.5,5702.48,6563.91,7853.75,0500
notes,0.55,,,,,,,,,,,,,,,,,,,,,,,37.19,71.79,159.71,274.73,420.82,643.46,936.76,1412.19,1917.84,2382.52,3027.13,3468.81,4299.0,5081.37,5612.45,6325.68,1000
